"Selection Criteria Used"
"Area: ",""
"Geographic: ","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Retail Trade (44 & 45)"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"44-45 ","Retail Trade","12,671","203,626","200,026","200,348","199,722","201,763","204,545","203,284","203,804","201,010","201,095","205,200","207,728","$9,750,237,073","202,666","$925"
"441   ","Motor vehicle and parts dealers","1,073","20,445","20,501","20,550","20,601","20,645","20,850","20,756","20,832","20,702","20,946","20,957","20,974","$1,731,833,220","20,725","$1,607"
"4411  ","Automobile dealers","491","14,738","14,765","14,795","14,820","14,776","14,893","14,767","14,871","14,827","15,085","15,164","15,241","$1,429,564,747","14,890","$1,846"
"4412  ","Other motor vehicle dealers","95","824","834","842","889","982","1,062","1,039","1,002","925","882","757","758","$58,888,890","900","$1,259"
"4413  ","Auto parts, accessories, and tire stores","487","4,883","4,902","4,913","4,892","4,887","4,895","4,950","4,959","4,950","4,979","5,036","4,975","$243,379,583","4,935","$948"
"444   ","Building material and garden supply stores","756","14,324","14,090","14,497","15,052","15,667","15,686","15,365","15,147","14,689","14,551","14,466","14,504","$751,922,161","14,837","$975"
"4441  ","Building material and supplies dealers","613","12,936","12,773","13,040","13,264","13,648","13,646","13,449","13,301","12,892","12,811","12,749","12,765","$665,122,416","13,107","$976"
"4442  ","Lawn and garden equipment and supplies stores","143","1,388","1,317","1,457","1,788","2,019","2,040","1,916","1,846","1,797","1,740","1,717","1,739","$86,799,745","1,731","$965"
"445   ","Food and beverage stores","3,043","61,710","61,473","61,538","61,911","62,386","63,506","63,022","62,896","61,991","60,477","61,458","61,703","$2,165,276,113","62,013","$671"
"4451  ","Grocery stores","1,771","52,951","52,893","52,866","53,197","53,444","54,300","53,882","53,817","53,200","51,688","52,542","52,618","$1,797,372,168","53,122","$651"
"4452  ","Specialty food stores","419","4,372","4,264","4,377","4,384","4,559","4,800","4,726","4,703","4,504","4,480","4,517","4,626","$204,239,312","4,527","$868"
"4453  ","Beer, wine, and liquor stores","854","4,387","4,316","4,295","4,330","4,383","4,406","4,414","4,376","4,287","4,309","4,399","4,459","$163,664,633","4,364","$721"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
