"Selection Criteria Used"
"Area: ",""
"Geographic: ","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Health Care and Social Assistance"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"62    ","Health Care and Social Assistance","39,842","438,741","439,381","442,617","442,363","444,960","447,090","448,446","449,038","446,922","446,870","450,485","451,777","$34,814,544,062","445,771","$1,502"
"621   ","Ambulatory health care services","7,449","127,834","128,597","128,965","129,524","129,931","130,122","130,760","130,562","130,871","130,771","131,752","132,198","$11,650,719,843","130,166","$1,721"
"6211  ","Offices of physicians","1,883","41,303","41,608","41,487","41,661","41,696","41,732","41,845","41,709","41,937","41,089","41,069","41,207","$5,851,321,300","41,532","$2,709"
"6212  ","Offices of dentists","2,084","17,361","17,416","17,368","17,516","17,622","17,358","17,407","17,458","17,225","17,534","17,714","17,769","$1,339,801,747","17,482","$1,474"
"6213  ","Offices of other health practitioners","2,058","15,997","16,055","16,110","16,253","16,414","16,424","17,076","16,973","16,966","17,079","17,273","17,345","$989,444,161","16,663","$1,142"
"6214  ","Outpatient care centers","441","14,350","14,352","14,488","14,150","14,181","14,321","13,873","13,811","13,906","13,795","13,901","13,913","$1,081,971,100","14,090","$1,477"
"6215  ","Medical and diagnostic laboratories","263","4,346","4,387","4,329","4,298","4,323","4,320","4,403","4,398","4,369","4,384","4,332","4,335","$409,438,047","4,352","$1,809"
"6216  ","Home health care services","557","28,355","28,605","29,067","29,490","29,546","29,676","29,870","29,917","30,245","30,569","30,996","31,099","$1,504,420,010","29,787","$971"
"6219  ","Other ambulatory health care services","163","6,122","6,174","6,116","6,156","6,149","6,291","6,286","6,296","6,223","6,321","6,467","6,530","$474,323,478","6,261","$1,457"
"622   ","Hospitals","169","161,187","161,034","161,708","160,632","161,268","162,587","163,582","163,481","162,813","160,975","162,320","161,792","$15,795,299,300","161,948","$1,876"
