"Selection Criteria Used"
"Area: ",""
"Geographic: ","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Finance and Insurance"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"52    ","Finance and Insurance","7,268","126,835","126,095","126,039","125,676","125,415","127,374","128,234","126,806","124,990","125,359","125,444","125,549","$28,033,511,322","126,167","$4,273"
"522   ","Credit intermediation and related activities","2,246","35,302","34,953","34,921","34,846","34,733","35,092","36,258","35,798","35,383","35,350","35,388","35,421","$5,546,998,009","35,287","$3,023"
"5221  ","Depository credit intermediation","1,621","28,846","28,526","28,504","28,441","28,317","28,609","30,082","29,653","29,373","29,267","29,282","29,344","$4,351,394,180","29,020","$2,884"
"5222  ","Nondepository credit intermediation","366","3,685","3,688","3,657","3,643","3,667","3,673","3,356","3,364","3,275","3,322","3,326","3,303","$727,907,005","3,497","$4,003"
"5223  ","Activities related to credit intermediation","259","2,771","2,739","2,760","2,762","2,749","2,810","2,820","2,781","2,735","2,761","2,780","2,774","$467,696,824","2,770","$3,247"
"523   ","Securities, commodity contracts, investments","2,904","45,107","45,148","44,994","44,850","44,839","45,892","45,311","44,890","44,007","44,044","44,123","44,207","$15,477,407,464","44,798","$6,644"
"5231  ","Securities and commodity contracts brokerage","759","13,756","13,666","13,575","13,655","13,611","13,959","13,091","12,817","12,569","12,621","12,636","12,665","$4,522,328,984","13,219","$6,579"
"5232  ","Securities and commodity exchanges","23","78","78","77","78","84","86","86","87","83","75","74","75","$16,760,440","80","$4,025"
"5239  ","Other financial investment activities","2,123","31,273","31,404","31,342","31,117","31,144","31,847","32,134","31,986","31,355","31,348","31,413","31,467","$10,938,318,040","31,499","$6,678"
"524   ","Insurance carriers and related activities","1,963","45,025","44,606","44,750","44,579","44,437","44,971","45,226","44,670","44,175","44,538","44,499","44,485","$6,750,244,685","44,667","$2,906"
"5241  ","Insurance carriers","352","30,002","29,628","29,796","29,426","29,420","29,748","30,073","29,702","29,378","29,764","29,692","29,724","$4,645,837,630","29,696","$3,009"
"5242  ","Insurance agencies and brokerages","1,611","15,023","14,978","14,954","15,153","15,017","15,223","15,153","14,968","14,797","14,774","14,807","14,761","$2,104,407,055","14,970","$2,703"
"525   ","Funds, trusts, and other financial vehicles","147","359","347","336","355","356","356","364","366","357","364","370","370","$71,508,640","357","$3,848"
"5251  ","Insurance and employee benefit funds","24","164","156","151","153","157","163","174","171","170","171","171","170","$17,208,332","164","$2,015"
"5259  ","Other investment pools and funds","123","195","191","185","202","199","193","190","195","187","193","199","200","$54,300,308","193","$5,408"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
