"Selection Criteria Used"
"Area: ",""
"Geographic: ","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Professional and Technical Services"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"54    ","Professional and Technical Services","24,080","310,890","311,515","310,748","309,837","308,557","312,219","314,876","312,415","307,150","309,384","311,580","311,968","$59,630,402,169","311,039","$3,687"
"541   ","Professional and technical services","24,080","310,890","311,515","310,748","309,837","308,557","312,219","314,876","312,415","307,150","309,384","311,580","311,968","$59,630,402,169","311,039","$3,687"
"5411  ","Legal services","3,011","23,579","23,660","23,675","23,709","23,689","24,250","24,363","23,800","23,585","23,876","24,152","24,184","$4,230,882,268","23,898","$3,405"
"5412  ","Accounting and bookkeeping services","1,954","20,284","20,994","20,999","20,807","19,358","20,039","20,102","19,630","18,932","19,160","19,372","19,530","$2,577,619,690","19,972","$2,482"
"5413  ","Architectural and engineering services","2,311","35,572","35,458","35,440","35,302","35,472","36,148","36,142","35,931","35,140","35,168","35,058","35,111","$4,987,406,652","35,490","$2,702"
"5414  ","Specialized design services","728","2,580","2,569","2,539","2,546","2,534","2,541","2,597","2,594","2,557","2,559","2,606","2,591","$253,168,644","2,568","$1,896"
"5415  ","Computer systems design and related services","5,505","61,004","60,827","60,454","59,976","59,957","60,461","60,909","60,457","59,420","59,444","59,112","58,871","$12,913,830,017","60,084","$4,133"
"5416  ","Management and technical consulting services","4,909","48,588","48,498","48,214","48,281","48,737","49,294","50,048","49,767","48,996","50,197","51,994","52,418","$8,576,271,515","49,607","$3,325"
"5417  ","Scientific research and development services","2,866","98,938","99,291","99,155","98,916","98,530","99,087","100,483","100,047","98,675","98,862","99,197","99,204","$23,907,555,115","99,225","$4,634"
"5418  ","Advertising, PR, and related services","1,121","8,190","8,197","8,182","8,201","8,117","8,215","8,115","8,077","7,907","7,947","7,951","7,868","$982,593,000","8,081","$2,338"
"5419  ","Other professional and technical services","1,676","12,155","12,021","12,090","12,099","12,163","12,184","12,117","12,112","11,938","12,171","12,138","12,191","$1,201,075,268","12,114","$1,907"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
