"Selection Criteria Used"
"Area: ",""
"Geographic: ","Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Information"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"51    ","Information","5,054","79,175","79,468","78,941","78,781","78,391","79,012","79,641","78,982","78,161","77,644","78,141","77,259","$15,406,649,332","78,650","$3,767"
"512   ","Motion picture and sound recording industries","425","3,242","3,524","3,505","3,887","3,728","4,238","4,173","3,766","3,581","3,651","3,981","3,392","$215,284,140","3,723","$1,112"
"5121  ","Motion picture and video industries","373","3,111","3,397","3,384","3,768","3,606","4,118","4,053","3,649","3,465","3,536","3,865","3,275","$207,463,512","3,603","$1,107"
"5122  ","Sound recording industries","52","131","127","121","119","122","120","120","117","116","115","116","117","$7,820,628","120","$1,252"
"5132  ","Software Publishers","1,957","37,719","37,501","37,101","37,064","36,776","37,054","37,317","37,110","36,782","36,280","36,096","36,177","$8,591,110,093","36,921","$4,475"
"516   ","Internet Publishing and Broadcasting","261","5,190","5,199","5,193","5,219","5,131","5,182","5,160","5,086","5,054","5,147","5,112","5,096","$1,097,381,283","5,147","$4,100"
"5161  ","Internet Publishing and Broadcasting","78","2,388","2,429","2,435","2,434","2,349","2,397","2,387","2,343","2,336","2,392","2,357","2,349","$266,975,106","2,383","$2,154"
"517   ","Telecommunications","621","8,071","8,221","8,165","7,891","8,065","7,830","8,501","8,762","8,407","8,322","8,624","8,348","$1,089,986,486","8,268","$2,535"
"5171  ","Wired Telecommunications Carriers","513","7,089","7,254","7,217","6,906","7,077","6,832","7,503","7,778","7,432","7,347","7,652","7,385","$887,209,644","7,290","$2,340"
"518   ","Data processing, hosting and related services","737","7,737","7,744","7,738","7,712","7,666","7,759","7,796","7,701","7,660","7,608","7,636","7,664","$1,626,890,126","7,705","$4,060"
"5182  ","Data processing, hosting and related services","737","7,737","7,744","7,738","7,712","7,666","7,759","7,796","7,701","7,660","7,608","7,636","7,664","$1,626,890,126","7,705","$4,060"
"519   ","Other information services","610","9,465","9,509","9,463","9,324","9,426","9,354","9,133","9,079","9,171","9,201","9,226","9,178","$1,818,119,546","9,299","$3,760"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
