"Selection Criteria Used"
"Area: ",""
"Geographic: ","Worcester, MA Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Professional and Technical Services"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"54    ","Professional and Technical Services","2,471","18,989","19,157","19,087","19,147","18,822","18,958","19,106","18,973","18,685","19,022","19,121","19,170","$2,213,671,082","19,027","$2,237"
"541   ","Professional and technical services","2,471","18,989","19,157","19,087","19,147","18,822","18,958","19,106","18,973","18,685","19,022","19,121","19,170","$2,213,671,082","19,027","$2,237"
"5411  ","Legal services","339","1,467","1,458","1,446","1,453","1,447","1,471","1,481","1,464","1,465","1,474","1,457","1,466","$143,622,375","1,462","$1,889"
"5412  ","Accounting and bookkeeping services","293","1,736","1,883","1,882","1,858","1,556","1,558","1,564","1,483","1,464","1,532","1,586","1,618","$177,344,760","1,644","$2,075"
"5413  ","Architectural and engineering services","291","2,514","2,486","2,437","2,486","2,485","2,512","2,475","2,483","2,438","2,483","2,495","2,508","$253,504,538","2,484","$1,963"
"5414  ","Specialized design services","67","232","229","229","251","249","248","244","256","241","225","236","231","$16,088,822","239","$1,293"
"5415  ","Computer systems design and related services","574","3,728","3,717","3,621","3,688","3,635","3,598","3,754","3,699","3,570","3,657","3,611","3,553","$528,255,743","3,654","$2,780"
"5416  ","Management and technical consulting services","470","2,234","2,251","2,246","2,261","2,261","2,269","2,286","2,301","2,290","2,304","2,301","2,305","$255,638,811","2,276","$2,160"
"5417  ","Scientific research and development services","143","4,944","5,008","5,027","5,022","5,047","5,140","5,162","5,153","5,107","5,187","5,236","5,223","$663,723,812","5,105","$2,500"
"5418  ","Advertising, PR, and related services","77","342","342","342","345","350","340","318","334","338","362","359","363","$33,574,773","345","$1,872"
"5419  ","Other professional and technical services","217","1,792","1,783","1,857","1,783","1,792","1,822","1,822","1,800","1,772","1,798","1,840","1,903","$141,917,448","1,818","$1,501"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
