"Selection Criteria Used"
"Area: ",""
"Geographic: ","Worcester, MA Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Information"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"51    ","Information","458","3,842","3,833","3,862","3,745","3,775","3,827","3,765","3,778","3,680","3,628","3,629","3,639","$406,471,044","3,750","$2,084"
"512   ","Motion picture and sound recording industries","39","396","377","411","354","359","416","405","404","349","334","311","355","$16,830,053","373","$869"
"5121  ","Motion picture and video industries","35","395","375","409","352","357","415","403","402","348","332","308","351","$16,564,503","371","$860"
"5132  ","Software Publishers","108","507","511","507","495","498","512","499","498","510","511","510","506","$113,700,515","505","$4,327"
"516   ","Internet Publishing and Broadcasting","33","163","166","166","167","175","174","168","170","169","172","166","166","$8,155,544","169","$931"
"5161  ","Internet Publishing and Broadcasting","10","91","95","95","95","99","98","97","100","101","102","95","95","$4,627,088","97","$918"
"517   ","Telecommunications","91","1,187","1,211","1,203","1,146","1,172","1,151","1,136","1,163","1,126","1,069","1,102","1,071","$103,840,792","1,145","$1,745"
"5171  ","Wired Telecommunications Carriers","78","1,106","1,132","1,127","1,083","1,111","1,092","1,078","1,106","1,071","1,017","1,046","1,017","$98,104,547","1,082","$1,743"
"518   ","Data processing, hosting and related services","55","386","369","363","375","369","372","372","371","365","362","362","366","$89,995,012","369","$4,686"
"5182  ","Data processing, hosting and related services","55","386","369","363","375","369","372","372","371","365","362","362","366","$89,995,012","369","$4,686"
"519   ","Other information services","92","831","840","854","842","849","839","823","801","807","820","824","822","$42,049,948","829","$975"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
