"Selection Criteria Used"
"Area: ",""
"Geographic: ","Worcester, MA Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Finance and Insurance"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"52    ","Finance and Insurance","889","11,683","11,665","11,622","11,577","11,576","11,649","11,718","11,663","11,538","11,585","11,637","11,661","$1,377,125,963","11,631","$2,277"
"522   ","Credit intermediation and related activities","383","3,660","3,645","3,639","3,587","3,609","3,643","3,681","3,644","3,612","3,582","3,599","3,594","$335,178,487","3,625","$1,778"
"5221  ","Depository credit intermediation","296","3,279","3,272","3,264","3,211","3,228","3,270","3,304","3,259","3,230","3,200","3,209","3,210","$281,217,562","3,245","$1,667"
"5222  ","Nondepository credit intermediation","49","237","234","231","232","229","225","231","234","227","230","238","237","$27,704,240","232","$2,296"
"5223  ","Activities related to credit intermediation","38","144","139","144","144","152","148","146","151","155","152","152","147","$26,256,685","148","$3,416"
"523   ","Securities, commodity contracts, investments","204","780","784","777","793","791","796","831","829","804","836","843","837","$157,810,626","808","$3,754"
"5231  ","Securities and commodity contracts brokerage","71","389","391","383","390","390","385","412","411","388","410","413","407","$96,092,136","397","$4,650"
"5239  ","Other financial investment activities","134","391","393","394","403","401","411","419","418","416","426","430","430","$61,718,490","411","$2,888"
"524   ","Insurance carriers and related activities","297","7,228","7,222","7,192","7,189","7,168","7,202","7,198","7,180","7,113","7,158","7,186","7,222","$883,411,898","7,188","$2,363"
"5241  ","Insurance carriers","37","4,871","4,862","4,862","4,839","4,821","4,832","4,838","4,815","4,793","4,782","4,800","4,800","$593,887,705","4,827","$2,366"
"5242  ","Insurance agencies and brokerages","260","2,357","2,360","2,330","2,350","2,347","2,370","2,360","2,365","2,320","2,376","2,386","2,422","$289,524,193","2,362","$2,357"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
