"Selection Criteria Used"
"Area: ",""
"Geographic: ","Worcester, MA Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Retail Trade (44 & 45)"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"44-45 ","Retail Trade","2,310","37,321","36,718","36,977","36,706","37,094","37,409","37,100","37,141","36,788","36,702","37,268","37,397","$1,543,951,367","37,055","$801"
"441   ","Motor vehicle and parts dealers","307","5,139","5,193","5,227","5,119","5,111","5,276","5,274","5,224","5,234","5,198","5,199","5,103","$383,702,608","5,191","$1,421"
"4411  ","Automobile dealers","143","3,300","3,332","3,357","3,225","3,223","3,383","3,400","3,366","3,377","3,372","3,373","3,290","$281,965,387","3,333","$1,627"
"4412  ","Other motor vehicle dealers","27","286","289","304","321","330","332","332","318","313","314","301","301","$19,985,923","312","$1,233"
"4413  ","Auto parts, accessories, and tire stores","137","1,553","1,572","1,566","1,573","1,558","1,561","1,542","1,540","1,544","1,512","1,525","1,512","$81,751,298","1,547","$1,017"
"444   ","Building material and garden supply stores","187","3,117","3,102","3,204","3,315","3,461","3,428","3,342","3,279","3,169","3,154","3,143","3,161","$161,907,628","3,240","$961"
"4441  ","Building material and supplies dealers","140","2,705","2,697","2,773","2,804","2,905","2,893","2,829","2,782","2,680","2,672","2,672","2,700","$140,290,236","2,759","$978"
"4442  ","Lawn and garden equipment and supplies stores","48","412","405","431","511","556","535","513","497","489","482","471","461","$21,617,392","480","$866"
"445   ","Food and beverage stores","513","10,167","10,040","10,103","10,153","10,244","10,401","10,319","10,249","10,065","9,785","9,759","9,812","$310,637,665","10,093","$592"
"4451  ","Grocery stores","264","8,824","8,742","8,770","8,786","8,828","8,994","8,916","8,840","8,681","8,378","8,435","8,489","$261,477,526","8,724","$576"
"4452  ","Specialty food stores","57","345","334","377","433","470","476","471","465","457","488","387","372","$16,206,429","424","$735"
"4453  ","Beer, wine, and liquor stores","192","998","964","956","934","946","931","932","944","927","919","937","951","$32,953,710","945","$670"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
