"Selection Criteria Used"
"Area: ",""
"Geographic: ","Worcester, MA Metropolitan Statistical Area"
"Year: ","2024"
"Time Period: ","Annual Report"
"Ownership Type: ","All Ownership Types"
"Industry: ","Health Care and Social Assistance"

"NAICS","Description","No. of Establishments","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Total Wages","Average Monthly Employment","Average Weekly Wages"
"62    ","Health Care and Social Assistance","9,449","73,248","72,991","73,652","73,914","74,581","74,981","75,023","75,522","75,110","75,361","75,605","76,046","$5,130,482,072","74,676","$1,321"
"621   ","Ambulatory health care services","1,271","19,467","19,454","19,581","19,691","19,802","19,846","19,778","19,775","19,861","19,941","19,934","20,015","$1,612,856,426","19,764","$1,569"
"6211  ","Offices of physicians","292","4,080","4,069","4,102","4,116","4,171","4,165","4,130","4,101","4,116","4,144","4,155","4,172","$453,013,046","4,128","$2,111"
"6212  ","Offices of dentists","320","2,853","2,803","2,807","2,807","2,840","2,803","2,818","2,847","2,796","2,852","2,853","2,820","$208,024,917","2,825","$1,416"
"6213  ","Offices of other health practitioners","321","2,617","2,652","2,687","2,745","2,713","2,741","2,755","2,734","2,728","2,707","2,706","2,715","$146,695,718","2,709","$1,041"
"6214  ","Outpatient care centers","132","4,339","4,368","4,372","4,381","4,397","4,425","4,383","4,396","4,401","4,431","4,410","4,470","$411,981,330","4,398","$1,802"
"6215  ","Medical and diagnostic laboratories","65","949","922","927","940","938","944","945","961","996","1,011","1,028","1,026","$136,107,397","966","$2,711"
"6216  ","Home health care services","104","3,816","3,770","3,818","3,869","3,920","3,932","3,923","3,939","4,000","4,009","3,992","4,030","$204,949,462","3,918","$1,006"
"6219  ","Other ambulatory health care services","37","813","870","868","833","823","836","824","797","824","787","790","782","$52,084,556","821","$1,221"
"622   ","Hospitals","49","20,525","20,372","20,569","20,587","20,779","20,982","20,901","21,048","21,216","21,155","21,359","21,413","$1,994,059,605","20,909","$1,834"
"6221  ","General medical and surgical hospitals","34","18,283","18,080","18,183","18,234","18,392","18,563","18,511","18,654","18,797","18,724","18,875","18,930","$1,799,802,006","18,519","$1,869"
"6222  ","Psychiatric and substance abuse hospitals","9","1,580","1,628","1,719","1,696","1,685","1,711","1,679","1,692","1,726","1,725","1,788","1,795","$147,267,678","1,702","$1,664"
"6223  ","Other hospitals","6","662","664","667","657","702","708","711","702","693","706","696","688","$46,989,921","688","$1,313"
"623   ","Nursing and residential care facilities","417","14,766","14,789","14,902","14,981","15,099","15,293","15,331","15,511","15,458","15,526","15,545","15,770","$820,165,901","15,248","$1,034"
"6231  ","Nursing care facilities, skilled nursing","61","6,710","6,718","6,798","6,830","6,892","6,954","6,965","7,050","6,997","7,023","7,070","7,161","$394,741,302","6,931","$1,095"
"6232  ","Residential mental health facilities","251","4,097","4,088","4,118","4,147","4,176","4,253","4,311","4,362","4,397","4,407","4,374","4,424","$237,869,681","4,263","$1,073"
"6233  ","Continuing care, assisted living facilities","59","2,231","2,164","2,164","2,186","2,199","2,234","2,199","2,194","2,153","2,176","2,196","2,273","$84,543,788","2,197","$740"
"6239  ","Other residential care facilities","46","1,728","1,819","1,822","1,818","1,832","1,852","1,856","1,905","1,911","1,920","1,905","1,912","$103,011,130","1,857","$1,067"
"624   ","Social assistance","7,712","18,490","18,376","18,600","18,655","18,901","18,860","19,013","19,188","18,575","18,739","18,767","18,848","$703,400,140","18,756","$721"
"6241  ","Individual and family services","7,463","13,749","13,657","13,773","13,856","14,008","13,879","14,196","14,356","13,778","13,908","13,882","13,911","$497,816,457","13,918","$688"
"6242  ","Emergency and other relief services","41","1,031","1,040","1,062","1,056","1,063","1,081","1,067","1,093","1,100","1,098","1,120","1,140","$55,225,537","1,079","$984"
"6243  ","Vocational rehabilitation services","30","1,076","1,070","1,096","1,085","1,092","1,116","1,113","1,130","1,107","1,112","1,125","1,117","$52,812,846","1,103","$921"
"6244  ","Child day care services","178","2,634","2,609","2,669","2,658","2,738","2,784","2,637","2,609","2,590","2,621","2,640","2,680","$97,545,300","2,656","$706"

"This workforce product was funded by a grant awarded by the U.S. Department of Labor's Employment and Training Administration. The product was created by the recipient and does not necessarily reflect the official position of the U.S. Department of Labor. The Department of Labor makes no guarantees, warranties, or assurances of any kind, express or implied, with respect to such information, including any information on linked sites and including, but not limited to, accuracy of the information or its completeness, timeliness, usefulness, adequacy, continued availability, or ownership. This product is copyrighted by the institution that created it. Internal use by an organization and/or personal use by an individual for non-commercial purposes is permissible. All other uses require the prior authorization of the copyright owner."
"The Federal Government reserves a paid-up, nonexclusive and irrevocable license to reproduce, publish or otherwise use, and to authorize others to use for federal purposes: i) the copyright in all products developed under the grant, including a subgrant or contract under the grant or subgrant; and ii) any rights of copyright to which the recipient, subrecipient or a contractor purchases ownership under an award (including but not limited to curricula, training models, technical assistance products, and any related materials). Such uses include, but are not limited to, the right to modify and distribute such products worldwide by any means, electronically or otherwise. Federal funds may not be used to pay any royalty or license fee for use of a copyrighted work, or the cost of acquiring by purchase a copyright in a work, where the Department has a license or rights of free use in such work, although they may be used to pay costs for obtaining a copy which is limited to the developer/seller costs of copying and shipping. If revenues are generated through selling products developed with grant funds, including intellectual property, these revenues are program income. Program income must be used in accordance with the provisions of this grant award and 2 CFR 200.307."
